product_id,revenue,cumulative_revenue,cumulative_pct,class
prd_00001,9422461.12,9422461.12,24.58,A
prd_00904,1869981.3,11292442.42,29.46,A
prd_01115,1864981.35,13157423.77,34.32,A
prd_00003,1824758.73,14982182.5,39.08,A
prd_01493,1459985.4,16442167.9,42.89,A
prd_02420,954990.45,17397158.35,45.38,A
prd_00002,824203.2,18221361.55,47.53,A
prd_02472,579994.2,18801355.75,49.05,A
prd_00005,534570.54,19335926.29,50.44,A
prd_00014,503881.5,19839807.79,51.75,A
prd_00010,421975.76,20261783.55,52.86,A
prd_00034,287436.65,20549220.2,53.6,A
prd_00013,253165.77,20802385.97,54.27,A
prd_00042,232999.42,21035385.39,54.87,A
prd_00033,228396.33,21263781.72,55.47,A
prd_00028,213723.66,21477505.38,56.03,A
prd_00021,210700.75,21688206.13,56.58,A
prd_00035,179813.04,21868019.17,57.05,A
prd_00077,166572.64,22034591.81,57.48,A
prd_00055,129135.76,22163727.57,57.82,A
prd_00137,127223.83,22290951.4,58.15,A
prd_00182,115412.4,22406363.8,58.45,A
prd_00016,114547.66,22520911.46,58.75,A
prd_00012,108161.94,22629073.4,59.03,A
prd_00053,104741.24,22733814.64,59.3,A
prd_00006,100260.5,22834075.14,59.57,A
prd_00007,94705.39,22928780.53,59.81,A
prd_00061,91601.67,23020382.2,60.05,A
prd_00070,91128.51,23111510.71,60.29,A
prd_00124,90168.82,23201679.53,60.52,A
prd_00094,89103.22,23290782.75,60.76,A
prd_00121,87898.58,23378681.33,60.99,A
prd_00038,87853.69,23466535.02,61.21,A
prd_00022,84979.33,23551514.35,61.44,A
prd_00083,81337.52,23632851.87,61.65,A
prd_00031,81026.42,23713878.29,61.86,A
prd_00025,76712.48,23790590.77,62.06,A
prd_00181,76435.53,23867026.3,62.26,A
prd_00049,75272.05,23942298.35,62.46,A
prd_00099,74320.68,24016619.03,62.65,A
prd_00018,73140.38,24089759.41,62.84,A
prd_00004,72952.73,24162712.14,63.03,A
prd_00201,71751.44,24234463.58,63.22,A
prd_00011,71652.84,24306116.42,63.41,A
prd_00128,70677.45,24376793.87,63.59,A
prd_00127,69242.17,24446036.04,63.77,A
prd_00380,66515.97,24512552.01,63.94,A
prd_00117,66005.03,24578557.04,64.12,A
prd_00139,64887.02,24643444.06,64.29,A
prd_00060,64562.79,24708006.85,64.45,A
prd_00145,63091.38,24771098.23,64.62,A
prd_00191,62860.14,24833958.37,64.78,A
prd_00158,62743.76,24896702.13,64.95,A
prd_00119,62392.02,24959094.15,65.11,A
prd_00189,61979.52,25021073.67,65.27,A
prd_00009,60612.02,25081685.69,65.43,A
prd_00138,58184.4,25139870.09,65.58,A
prd_00287,57953.38,25197823.47,65.73,A
prd_00254,57442.06,25255265.53,65.88,A
