customer_unique_id,recency,frequency,monetary,r_score,f_score,m_score,segment
usr_001877,99,5,1942.75,3,5,5,Loyal Customers
usr_028674,713,1,257.28,1,1,2,Hibernating
usr_000824,22,10,3671.15,5,5,5,Champions
usr_000008,3,256,94639.82,5,5,5,Champions
usr_016346,154,4,795.13,3,5,3,Loyal Customers
usr_015451,154,4,1352.05,3,5,4,Loyal Customers
usr_009908,712,1,50.67,1,1,1,Hibernating
usr_005545,11,3,661.82,5,4,3,Loyal Customers
usr_007937,32,6,997.96,4,5,4,Champions
usr_000201,15,30,9001.01,5,5,5,Champions
usr_000003,0,449,169530.96,5,5,5,Champions
usr_024638,712,1,1563.36,1,1,5,Hibernating
usr_000543,42,17,3506.16,4,5,5,Champions
usr_034772,712,1,95.69,1,1,1,Hibernating
usr_015606,532,2,718.18,1,3,3,At Risk
usr_000714,26,12,3325.53,5,5,5,Champions
usr_008495,712,1,500.47,1,1,3,Hibernating
usr_009971,585,3,676.13,1,4,3,At Risk
usr_000037,11,76,28829.97,5,5,5,Champions
usr_033299,712,1,352.64,1,1,2,Hibernating
usr_011136,583,2,145.68,1,3,2,At Risk
usr_019418,79,3,686.77,4,4,3,Loyal Customers
usr_000566,31,9,5037.61,4,5,5,Champions
usr_002681,60,5,3386.07,4,5,5,Champions
usr_027440,664,3,1338.9,1,4,4,At Risk
usr_007140,712,1,547.78,1,1,3,Hibernating
usr_002389,84,8,2862.79,4,5,5,Champions
usr_000873,132,8,3149.43,3,5,5,Loyal Customers
usr_000213,4,32,9682.45,5,5,5,Champions
usr_021558,95,2,918.84,4,3,4,Loyal Customers
usr_002034,97,7,1663.79,4,5,5,Champions
usr_007560,169,3,1128.89,3,4,4,Loyal Customers
usr_001757,296,7,2587.06,2,5,5,At Risk
usr_007118,96,5,2197.22,4,5,5,Champions
usr_001382,23,14,5657.71,5,5,5,Champions
usr_006075,123,3,1907.11,3,4,5,Loyal Customers
usr_000040,4,79,32369.29,5,5,5,Champions
usr_002286,127,5,1061.08,3,5,4,Loyal Customers
usr_019777,14,3,643.41,5,4,3,Loyal Customers
usr_003954,34,4,2220.19,4,5,5,Champions
usr_022273,712,1,117.05,1,1,1,Hibernating
usr_032624,712,1,952.21,1,1,4,Hibernating
usr_027462,261,2,463.4,2,3,3,At Risk
usr_000429,32,18,5908.88,4,5,5,Champions
usr_000813,64,8,1813.53,4,5,5,Champions
usr_006840,712,1,113.57,1,1,1,Hibernating
usr_000015,4,170,64602.32,5,5,5,Champions
usr_000002,0,703,235732.34,5,5,5,Champions
usr_009336,34,4,1903.21,4,5,5,Champions
usr_014413,712,1,210.02,1,1,2,Hibernating
usr_003901,182,5,4676.75,3,5,5,Loyal Customers
usr_000184,16,27,8338.62,5,5,5,Champions
usr_020023,712,1,320.24,1,1,2,Hibernating
usr_003420,57,6,1014.49,4,5,4,Champions
usr_028609,91,2,1519.78,4,3,5,Loyal Customers
usr_000193,1,30,9637.54,5,5,5,Champions
usr_027391,712,1,27.35,1,1,1,Hibernating
usr_000559,48,10,1902.57,4,5,5,Champions
usr_019824,252,2,163.91,2,3,2,At Risk
usr_006752,57,6,1926.15,4,5,5,Champions
usr_004346,554,2,414.51,1,3,3,At Risk
usr_000900,6,10,2927.33,5,5,5,Champions
usr_000535,130,16,3498.65,3,5,5,Loyal Customers
usr_000301,11,18,5272.57,5,5,5,Champions
usr_002843,345,4,369.6,2,5,3,At Risk
usr_004744,386,3,909.69,2,4,4,At Risk
usr_000881,185,5,2439.81,3,5,5,Loyal Customers
usr_000282,21,17,5361.7,5,5,5,Champions
usr_015402,193,3,3536.13,3,4,5,Loyal Customers
usr_000029,3,103,40801.32,5,5,5,Champions
usr_003606,492,3,2885.66,1,4,5,At Risk
usr_000066,3,66,24016.85,5,5,5,Champions
usr_002604,35,4,645.77,4,5,3,Loyal Customers
usr_003169,236,6,2539.57,2,5,5,At Risk
usr_033264,74,3,925.32,4,4,4,Champions
usr_037763,711,1,64.86,1,1,1,Hibernating
usr_039489,711,1,119.24,1,1,1,Hibernating
usr_013470,6,4,1157.44,5,5,4,Champions
usr_011166,480,3,511.79,1,4,3,At Risk
usr_000010,0,212,72733.51,5,5,5,Champions
usr_000081,0,49,17083.76,5,5,5,Champions
usr_000574,9,12,3830.73,5,5,5,Champions
usr_002288,27,5,638.73,5,5,3,Loyal Customers
usr_000196,17,35,13107.16,5,5,5,Champions
usr_003956,15,3,1638.95,5,4,5,Champions
usr_000295,17,28,9639.85,5,5,5,Champions
usr_001759,386,4,911.99,2,5,4,At Risk
usr_000153,4,35,10875.29,5,5,5,Champions
usr_000371,10,15,4659.28,5,5,5,Champions
usr_008424,711,1,118.3,1,1,1,Hibernating
usr_015268,193,3,1891.42,3,4,5,Loyal Customers
usr_000453,11,24,11044.15,5,5,5,Champions
usr_000001,0,1121,512189.13,5,5,5,Champions
usr_016939,6,3,1832.0,5,4,5,Champions
usr_006859,216,3,1052.47,3,4,4,Loyal Customers
usr_005311,214,4,1348.61,3,5,4,Loyal Customers
usr_001020,1,9,4505.91,5,5,5,Champions
usr_012146,139,3,1159.34,3,4,4,Loyal Customers
usr_000135,10,37,14893.34,5,5,5,Champions
usr_000210,11,46,16049.15,5,5,5,Champions
usr_005393,367,4,2535.21,2,5,5,At Risk
usr_000412,11,17,4616.27,5,5,5,Champions
usr_000765,5,9,3370.05,5,5,5,Champions
usr_005241,41,3,1292.69,4,4,4,Champions
usr_016344,270,3,671.16,2,4,3,At Risk
usr_014840,362,2,277.37,2,3,2,At Risk
usr_002937,19,5,2278.86,5,5,5,Champions
usr_037615,64,2,797.68,4,3,3,Loyal Customers
usr_001256,78,9,2068.71,4,5,5,Champions
usr_018472,711,1,101.58,1,1,1,Hibernating
usr_009159,3,3,1543.87,5,4,5,Champions
usr_000009,2,231,85540.66,5,5,5,Champions
usr_015520,64,2,528.05,4,3,3,Loyal Customers
usr_004812,168,5,1147.53,3,5,4,Loyal Customers
usr_036752,279,2,106.44,2,3,1,At Risk
usr_006142,332,4,675.89,2,5,3,At Risk
usr_000005,0,395,160333.49,5,5,5,Champions
usr_000435,3,10,2797.86,5,5,5,Champions
usr_008340,193,4,663.83,3,5,3,Loyal Customers
usr_000357,12,19,5605.98,5,5,5,Champions
usr_004807,334,2,939.89,2,3,4,At Risk
usr_019420,40,4,1799.03,4,5,5,Champions
usr_000307,18,19,7997.04,5,5,5,Champions
usr_013919,215,4,703.78,3,5,3,Loyal Customers
usr_017771,711,1,139.38,1,1,2,Hibernating
usr_036211,111,2,112.67,3,3,1,Promising/Active
usr_006224,14,4,1077.14,5,5,4,Champions
usr_019661,393,3,759.53,1,4,3,At Risk
usr_000186,5,26,11981.48,5,5,5,Champions
usr_032034,650,2,911.34,1,3,4,At Risk
usr_005166,455,3,2834.79,1,4,5,At Risk
usr_002048,164,9,2275.82,3,5,5,Loyal Customers
usr_004370,236,2,138.81,2,3,2,At Risk
usr_023966,711,1,189.25,1,1,2,Hibernating
usr_035621,51,2,1386.94,4,3,4,Loyal Customers
usr_009820,32,6,2245.1,4,5,5,Champions
usr_014672,711,1,1036.53,1,1,4,Hibernating
usr_000031,2,100,38865.07,5,5,5,Champions
usr_022059,187,2,731.79,3,3,3,Loyal Customers
usr_001233,15,10,5122.93,5,5,5,Champions
usr_002036,5,7,2026.91,5,5,5,Champions
usr_012981,440,2,1115.17,1,3,4,At Risk
usr_006952,200,4,1681.44,3,5,5,Loyal Customers
usr_000753,162,9,3774.19,3,5,5,Loyal Customers
usr_017891,88,3,1679.45,4,4,5,Champions
usr_000766,3,15,7069.91,5,5,5,Champions
usr_009338,438,3,1293.37,1,4,4,At Risk
usr_004788,42,3,462.22,4,4,3,Loyal Customers
usr_033755,710,1,143.12,1,1,2,Hibernating
usr_013540,710,1,30.11,1,1,1,Hibernating
usr_000197,22,30,14154.17,5,5,5,Champions
usr_000818,27,11,7096.37,5,5,5,Champions
usr_000741,17,11,5300.11,5,5,5,Champions
usr_035029,710,1,981.97,1,1,4,Hibernating
usr_003634,38,5,311.44,4,5,2,Promising/Active
usr_006282,237,6,1995.69,2,5,5,At Risk
usr_004810,32,5,1798.37,4,5,5,Champions
usr_000363,24,21,6823.59,5,5,5,Champions
usr_007463,9,6,4213.36,5,5,5,Champions
usr_032646,62,3,847.48,4,4,4,Champions
usr_003163,108,7,5226.32,3,5,5,Loyal Customers
usr_000431,12,21,6748.19,5,5,5,Champions
usr_016500,34,3,737.74,4,4,3,Loyal Customers
usr_011997,379,4,2373.29,2,5,5,At Risk
usr_000086,5,46,18056.79,5,5,5,Champions
usr_018969,157,2,1093.89,3,3,4,Loyal Customers
usr_003799,355,2,112.74,2,3,1,At Risk
usr_005314,38,4,1238.61,4,5,4,Champions
usr_009193,710,1,26.04,1,1,1,Hibernating
usr_024050,222,2,448.76,2,3,3,At Risk
usr_014681,151,2,1325.91,3,3,4,Loyal Customers
usr_000319,3,17,6183.35,5,5,5,Champions
usr_000871,11,11,4613.4,5,5,5,Champions
usr_000052,0,54,21854.61,5,5,5,Champions
usr_033690,6,4,813.64,5,5,3,Loyal Customers
usr_000070,1,47,22107.35,5,5,5,Champions
usr_002800,238,7,1592.9,2,5,5,At Risk
usr_011037,338,2,174.03,2,3,2,At Risk
usr_001343,47,11,3790.39,4,5,5,Champions
usr_020110,710,1,1036.53,1,1,4,Hibernating
usr_022580,159,2,785.68,3,3,3,Loyal Customers
usr_021475,484,2,759.21,1,3,3,At Risk
usr_032196,710,1,51.38,1,1,1,Hibernating
usr_014724,179,4,1863.77,3,5,5,Loyal Customers
usr_020144,710,1,22.76,1,1,1,Hibernating
usr_006320,710,1,26.95,1,1,1,Hibernating
usr_012915,123,4,839.43,3,5,4,Loyal Customers
usr_003290,3,8,2114.67,5,5,5,Champions
usr_000366,31,19,5667.23,4,5,5,Champions
usr_003894,17,7,3817.74,5,5,5,Champions
usr_016974,710,1,24.25,1,1,1,Hibernating
usr_005779,530,2,2554.26,1,3,5,At Risk
usr_009107,25,4,809.76,5,5,3,Loyal Customers
usr_000019,1,138,52869.43,5,5,5,Champions
usr_008181,417,2,703.26,1,3,3,At Risk
usr_010889,493,2,170.67,1,3,2,At Risk
usr_000768,0,9,4686.86,5,5,5,Champions
usr_020899,710,1,229.57,1,1,2,Hibernating
usr_018227,710,1,25.35,1,1,1,Hibernating
usr_000168,17,40,21144.37,5,5,5,Champions
usr_001503,103,8,4926.53,3,5,5,Loyal Customers
usr_000069,3,64,22690.66,5,5,5,Champions
usr_038377,261,2,1090.31,2,3,4,At Risk
usr_015910,710,1,327.48,1,1,2,Hibernating
usr_027594,710,1,532.22,1,1,3,Hibernating
usr_002650,69,6,2058.9,4,5,5,Champions
usr_031239,710,1,104.41,1,1,1,Hibernating
usr_039291,115,2,785.64,3,3,3,Loyal Customers
usr_002285,35,6,1330.11,4,5,4,Champions
usr_017309,710,1,674.71,1,1,3,Hibernating
usr_000356,45,22,7864.05,4,5,5,Champions
usr_000125,5,31,8558.93,5,5,5,Champions
usr_000864,175,8,3985.19,3,5,5,Loyal Customers
usr_008687,22,3,155.37,5,4,2,Promising/Active
usr_000026,0,116,41627.6,5,5,5,Champions
