product_category_name,product_category_name_english
electronics,Electronics
computers_accessories,Computers & Accessories
telephony,Telephony/Mobile
fashion_clothing,Fashion & Apparel
fashion_shoes,Shoes & Footwear
housewares,Housewares
home_appliances,Home Appliances
sports_leisure,Sports & Leisure
toys,Toys & Games
beauty_cosmetics,Beauty & Cosmetics
health_perfumery,Health & Perfumery
books_stationery,Books & Stationery
automotive,Automotive Parts
garden_tools,Garden Tools
office_furniture,Office Furniture
