customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
cus_000001,usr_000001,35737,Goiânia,GO
cus_000002,usr_000002,86175,São Paulo,SP
cus_000003,usr_000003,89389,São Paulo,SP
cus_000004,usr_000004,42505,Brasília,DF
cus_000005,usr_000005,64956,Porto Alegre,RS
cus_000006,usr_000006,09968,Brasília,DF
cus_000007,usr_000007,38667,São Paulo,SP
cus_000008,usr_000008,57881,Vitória,ES
cus_000009,usr_000009,93260,Vitória,ES
cus_000010,usr_000010,91964,Brasília,DF
cus_000011,usr_000011,43516,São Paulo,SP
cus_000012,usr_000012,50131,Salvador,BA
cus_000013,usr_000013,55008,Rio de Janeiro,RJ
cus_000014,usr_000014,23280,Belo Horizonte,MG
cus_000015,usr_000015,51140,São Paulo,SP
cus_000016,usr_000016,77435,Porto Alegre,RS
cus_000017,usr_000017,34289,São Paulo,SP
cus_000018,usr_000018,61981,Rio de Janeiro,RJ
cus_000019,usr_000019,21706,Recife,PE
cus_000020,usr_000020,78014,São Paulo,SP
cus_000021,usr_000021,91480,São Paulo,SP
cus_000022,usr_000022,27111,São Paulo,SP
cus_000023,usr_000023,14979,Vitória,ES
cus_000024,usr_000024,76341,São Paulo,SP
cus_000025,usr_000025,03875,São Paulo,SP
cus_000026,usr_000026,36976,Vitória,ES
cus_000027,usr_000027,98605,São Paulo,SP
cus_000028,usr_000028,98671,Vitória,ES
cus_000029,usr_000029,38512,Rio de Janeiro,RJ
cus_000030,usr_000030,47179,Salvador,BA
cus_000031,usr_000031,33850,São Paulo,SP
cus_000032,usr_000032,87400,Porto Alegre,RS
cus_000033,usr_000033,13735,Curitiba,PR
cus_000034,usr_000034,41492,Recife,PE
cus_000035,usr_000035,48823,Salvador,BA
cus_000036,usr_000036,39680,Curitiba,PR
cus_000037,usr_000037,27318,São Paulo,SP
cus_000038,usr_000038,48953,São Paulo,SP
cus_000039,usr_000039,22567,Belo Horizonte,MG
cus_000040,usr_000040,64156,São Paulo,SP
cus_000041,usr_000041,45396,Goiânia,GO
cus_000042,usr_000042,10869,Florianópolis,SC
cus_000043,usr_000043,89647,São Paulo,SP
cus_000044,usr_000044,74048,Curitiba,PR
cus_000045,usr_000045,02824,Rio de Janeiro,RJ
cus_000046,usr_000046,49311,São Paulo,SP
cus_000047,usr_000047,77619,Porto Alegre,RS
cus_000048,usr_000048,49689,Rio de Janeiro,RJ
cus_000049,usr_000049,04280,São Paulo,SP
cus_000050,usr_000050,43992,Porto Alegre,RS
cus_000051,usr_000051,09285,Fortaleza,CE
cus_000052,usr_000052,92891,Porto Alegre,RS
cus_000053,usr_000053,19320,São Paulo,SP
cus_000054,usr_000054,65569,São Paulo,SP
cus_000055,usr_000055,71457,São Paulo,SP
cus_000056,usr_000056,88881,São Paulo,SP
cus_000057,usr_000057,71804,Goiânia,GO
cus_000058,usr_000058,21253,Rio de Janeiro,RJ
cus_000059,usr_000059,65139,Recife,PE
cus_000060,usr_000060,37666,Porto Alegre,RS
cus_000061,usr_000061,59115,São Paulo,SP
cus_000062,usr_000062,48537,Rio de Janeiro,RJ
cus_000063,usr_000063,72364,São Paulo,SP
cus_000064,usr_000064,08936,Recife,PE
cus_000065,usr_000065,17011,Rio de Janeiro,RJ
cus_000066,usr_000066,13015,Goiânia,GO
cus_000067,usr_000067,79269,Porto Alegre,RS
cus_000068,usr_000068,44713,Vitória,ES
cus_000069,usr_000069,75000,São Paulo,SP
cus_000070,usr_000070,73641,São Paulo,SP
cus_000071,usr_000071,31539,São Paulo,SP
cus_000072,usr_000072,79116,São Paulo,SP
cus_000073,usr_000073,19964,São Paulo,SP
cus_000074,usr_000074,23871,Vitória,ES
cus_000075,usr_000075,18275,São Paulo,SP
cus_000076,usr_000076,32186,São Paulo,SP
cus_000077,usr_000077,35782,Belo Horizonte,MG
cus_000078,usr_000078,69955,São Paulo,SP
cus_000079,usr_000079,59756,São Paulo,SP
cus_000080,usr_000080,15293,Salvador,BA
cus_000081,usr_000081,81623,Rio de Janeiro,RJ
cus_000082,usr_000082,87363,São Paulo,SP
cus_000083,usr_000083,05082,Belo Horizonte,MG
cus_000084,usr_000084,53640,São Paulo,SP
cus_000085,usr_000085,94375,Rio de Janeiro,RJ
cus_000086,usr_000086,11589,Recife,PE
cus_000087,usr_000087,17540,São Paulo,SP
cus_000088,usr_000088,72874,São Paulo,SP
cus_000089,usr_000089,79301,Curitiba,PR
cus_000090,usr_000090,80354,Belo Horizonte,MG
cus_000091,usr_000091,15996,Rio de Janeiro,RJ
cus_000092,usr_000092,73264,Brasília,DF
cus_000093,usr_000093,60186,Curitiba,PR
cus_000094,usr_000094,60441,Recife,PE
cus_000095,usr_000095,41966,Rio de Janeiro,RJ
cus_000096,usr_000096,50060,Rio de Janeiro,RJ
cus_000097,usr_000097,63163,Goiânia,GO
cus_000098,usr_000098,13219,São Paulo,SP
cus_000099,usr_000099,49843,Rio de Janeiro,RJ
cus_000100,usr_000100,77869,Florianópolis,SC
cus_000101,usr_000101,88819,Goiânia,GO
cus_000102,usr_000102,88207,São Paulo,SP
cus_000103,usr_000103,95510,Goiânia,GO
cus_000104,usr_000104,41953,São Paulo,SP
cus_000105,usr_000105,28884,Rio de Janeiro,RJ
cus_000106,usr_000106,15184,São Paulo,SP
cus_000107,usr_000107,16058,Rio de Janeiro,RJ
cus_000108,usr_000108,57244,Salvador,BA
cus_000109,usr_000109,82490,Florianópolis,SC
cus_000110,usr_000110,04441,Porto Alegre,RS
cus_000111,usr_000111,91894,Porto Alegre,RS
cus_000112,usr_000112,93104,São Paulo,SP
cus_000113,usr_000113,47009,Salvador,BA
cus_000114,usr_000114,75228,São Paulo,SP
cus_000115,usr_000115,98120,Porto Alegre,RS
cus_000116,usr_000116,98794,Porto Alegre,RS
cus_000117,usr_000117,60460,Belo Horizonte,MG
cus_000118,usr_000118,95581,São Paulo,SP
cus_000119,usr_000119,79148,São Paulo,SP
cus_000120,usr_000120,21632,São Paulo,SP
cus_000121,usr_000121,11693,Salvador,BA
cus_000122,usr_000122,64656,São Paulo,SP
cus_000123,usr_000123,29255,Porto Alegre,RS
cus_000124,usr_000124,57349,Salvador,BA
cus_000125,usr_000125,78743,São Paulo,SP
cus_000126,usr_000126,06952,Rio de Janeiro,RJ
cus_000127,usr_000127,08180,São Paulo,SP
cus_000128,usr_000128,28686,São Paulo,SP
cus_000129,usr_000129,38938,Salvador,BA
cus_000130,usr_000130,98912,São Paulo,SP
cus_000131,usr_000131,70806,Rio de Janeiro,RJ
cus_000132,usr_000132,88562,Curitiba,PR
cus_000133,usr_000133,98260,Florianópolis,SC
cus_000134,usr_000134,11205,São Paulo,SP
cus_000135,usr_000135,76156,Brasília,DF
cus_000136,usr_000136,38947,Rio de Janeiro,RJ
cus_000137,usr_000137,43568,São Paulo,SP
cus_000138,usr_000138,61305,São Paulo,SP
cus_000139,usr_000139,12551,Florianópolis,SC
cus_000140,usr_000140,58104,Rio de Janeiro,RJ
cus_000141,usr_000141,52873,Belo Horizonte,MG
cus_000142,usr_000142,30041,Brasília,DF
cus_000143,usr_000143,67910,São Paulo,SP
cus_000144,usr_000144,26415,Porto Alegre,RS
cus_000145,usr_000145,96339,Recife,PE
cus_000146,usr_000146,20358,Goiânia,GO
cus_000147,usr_000147,26856,São Paulo,SP
cus_000148,usr_000148,86918,São Paulo,SP
cus_000149,usr_000149,83306,São Paulo,SP
cus_000150,usr_000150,76952,Rio de Janeiro,RJ
cus_000151,usr_000151,74989,Rio de Janeiro,RJ
cus_000152,usr_000152,43363,Porto Alegre,RS
cus_000153,usr_000153,20786,Brasília,DF
cus_000154,usr_000154,83756,Rio de Janeiro,RJ
cus_000155,usr_000155,08362,São Paulo,SP
cus_000156,usr_000156,61521,Rio de Janeiro,RJ
cus_000157,usr_000157,38627,Rio de Janeiro,RJ
cus_000158,usr_000158,12835,São Paulo,SP
cus_000159,usr_000159,61648,Porto Alegre,RS
cus_000160,usr_000160,97851,Belo Horizonte,MG
cus_000161,usr_000161,75928,Recife,PE
