order_id,payment_sequential,payment_type,payment_installments,payment_value
ord_000001,1,credit_card,4,32.6
ord_000002,1,boleto,1,269.82
ord_000003,1,credit_card,12,80.14
ord_000004,1,credit_card,6,30.47
ord_000005,1,credit_card,1,36.4
ord_000006,1,credit_card,1,1193.97
ord_000007,1,credit_card,3,62.51
ord_000008,1,credit_card,6,108.22
ord_000009,1,credit_card,2,555.52
ord_000010,1,credit_card,12,146.12
ord_000011,1,credit_card,4,196.83
ord_000012,1,credit_card,4,1568.81
ord_000013,1,credit_card,2,39.48
ord_000014,1,credit_card,2,111.02
ord_000015,1,credit_card,3,649.56
ord_000016,1,credit_card,3,577.13
ord_000017,1,credit_card,12,528.18
ord_000018,1,boleto,1,52.69
ord_000019,1,credit_card,6,157.42
ord_000020,1,credit_card,3,136.77
ord_000021,1,credit_card,10,362.32
ord_000022,1,voucher,1,88.14
ord_000023,1,credit_card,1,238.34
ord_000024,1,credit_card,12,273.59
ord_000025,1,credit_card,4,73.42
ord_000026,1,credit_card,3,53.68
ord_000027,1,credit_card,10,576.62
ord_000028,1,credit_card,10,50.41
ord_000029,1,credit_card,2,355.24
ord_000030,1,credit_card,3,174.15
ord_000031,1,credit_card,3,81.7
ord_000032,1,credit_card,1,160.34
ord_000033,1,credit_card,10,942.33
ord_000034,1,credit_card,4,196.4
ord_000035,1,credit_card,3,33.37
ord_000036,1,credit_card,2,1305.07
ord_000037,1,credit_card,2,883.19
ord_000038,1,credit_card,4,50.81
ord_000039,1,boleto,1,57.09
ord_000040,1,credit_card,10,40.21
ord_000041,1,credit_card,6,62.59
ord_000042,1,credit_card,1,61.63
ord_000042,2,credit_card,10,54.54
ord_000042,3,debit_card,1,30.72
ord_000043,1,credit_card,3,980.4
ord_000044,1,credit_card,2,199.77
ord_000045,1,boleto,1,351.99
ord_000046,1,credit_card,2,599.1
ord_000047,1,boleto,1,132.52
ord_000048,1,voucher,1,197.34
ord_000049,1,credit_card,2,320.41
ord_000050,1,credit_card,2,134.08
ord_000051,1,boleto,1,231.92
ord_000052,1,credit_card,10,1048.65
ord_000053,1,boleto,1,199.39
ord_000054,1,credit_card,4,352.89
ord_000055,1,boleto,1,31.3
ord_000056,1,credit_card,3,1162.51
ord_000057,1,credit_card,1,46.78
ord_000058,1,credit_card,12,36.54
ord_000059,1,credit_card,4,603.26
ord_000060,1,credit_card,3,147.82
ord_000061,1,boleto,1,375.77
ord_000062,1,credit_card,2,187.88
ord_000063,1,credit_card,1,153.1
ord_000064,1,credit_card,3,112.39
ord_000065,1,credit_card,10,371.67
ord_000066,1,credit_card,2,118.36
ord_000067,1,boleto,1,164.84
ord_000068,1,credit_card,6,97.16
ord_000069,1,credit_card,10,71.32
ord_000070,1,credit_card,12,1044.25
ord_000071,1,credit_card,10,626.99
ord_000072,1,credit_card,12,1758.45
ord_000073,1,credit_card,2,130.38
ord_000074,1,credit_card,3,83.68
ord_000075,1,credit_card,12,647.98
ord_000076,1,credit_card,10,190.73
ord_000077,1,credit_card,6,16.76
ord_000077,2,debit_card,1,25.2
ord_000077,3,credit_card,10,39.84
ord_000078,1,credit_card,10,140.45
ord_000079,1,credit_card,10,79.07
ord_000080,1,voucher,1,160.62
ord_000081,1,boleto,1,174.97
ord_000082,1,credit_card,3,95.57
ord_000083,1,voucher,1,257.22
ord_000084,1,credit_card,6,5.53
ord_000084,2,credit_card,4,32.35
ord_000085,1,credit_card,1,176.54
ord_000086,1,boleto,1,152.83
ord_000087,1,debit_card,1,85.61
ord_000088,1,credit_card,3,167.7
ord_000089,1,voucher,1,216.91
ord_000090,1,credit_card,2,160.87
ord_000091,1,credit_card,1,44.92
