product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_base_price
prd_00001,computers_accessories,57,251,6,13326,97,29,12,1091.08
prd_00002,fashion_shoes,26,611,5,14172,91,54,40,185.6
prd_00003,telephony,22,297,2,7109,15,66,36,591.36
prd_00004,books_stationery,26,613,7,14705,82,51,24,30.64
prd_00005,electronics,57,308,1,3285,36,26,73,277.8
prd_00006,fashion_shoes,32,325,6,917,65,56,55,62.26
prd_00007,fashion_clothing,33,737,3,2687,47,32,78,64.86
prd_00008,automotive,45,115,2,9444,25,20,22,40.56
prd_00009,health_perfumery,42,369,4,13428,36,6,61,51.38
prd_00010,electronics,60,607,8,3926,99,10,53,389.6
prd_00011,fashion_clothing,49,306,6,642,93,11,13,72.84
prd_00012,toys,23,898,2,497,13,65,48,120.26
prd_00013,home_appliances,49,448,3,6388,58,43,29,320.24
prd_00014,electronics,51,178,8,4079,59,58,20,617.88
prd_00015,health_perfumery,39,990,4,6378,54,26,12,74.92
prd_00016,fashion_shoes,25,561,6,9208,27,12,60,163.98
prd_00017,books_stationery,32,510,8,8768,69,72,63,41.65
prd_00018,garden_tools,39,778,5,5189,25,29,34,121.88
prd_00019,sports_leisure,50,437,6,7792,62,12,70,68.27
prd_00020,beauty_cosmetics,50,475,3,2923,89,27,36,91.5
prd_00021,automotive,53,580,1,10159,66,45,77,386.04
prd_00022,fashion_shoes,23,904,3,9984,19,34,31,162.22
prd_00023,toys,48,501,8,11602,51,52,77,81.0
prd_00024,fashion_clothing,29,173,4,7416,31,14,79,26.95
prd_00025,automotive,51,976,7,2207,21,60,53,185.79
prd_00026,housewares,48,467,8,8457,81,31,38,82.26
prd_00027,toys,20,782,6,1878,77,27,20,99.4
prd_00028,home_appliances,52,845,3,8407,18,45,38,556.79
prd_00029,fashion_clothing,25,748,7,5273,38,37,62,117.05
prd_00030,home_appliances,41,243,1,5644,42,6,32,149.18
prd_00031,office_furniture,60,617,2,9609,45,63,46,229.57
prd_00032,health_perfumery,57,489,8,6588,22,61,29,113.57
prd_00033,electronics,59,872,5,4319,54,39,36,675.13
prd_00034,telephony,35,308,6,7576,71,22,42,816.93
prd_00035,telephony,57,125,3,4834,44,21,39,555.75
prd_00036,beauty_cosmetics,50,350,7,8384,55,24,63,53.81
prd_00037,books_stationery,59,920,8,10098,47,22,75,36.47
prd_00038,electronics,42,726,8,13438,14,33,34,270.61
prd_00039,sports_leisure,31,593,6,10855,87,70,42,168.38
prd_00040,fashion_clothing,22,262,3,4394,88,53,29,26.39
prd_00041,fashion_clothing,38,674,6,4295,65,79,59,72.18
prd_00042,electronics,49,833,3,-9346,38,10,33,793.19
prd_00043,housewares,40,407,7,7658,73,29,16,11.47
prd_00044,sports_leisure,25,704,1,10015,79,20,64,183.96
prd_00045,fashion_clothing,37,331,1,3237,40,67,72,27.76
prd_00046,electronics,29,161,1,3756,23,70,18,84.27
prd_00047,toys,50,845,6,8879,91,74,38,17.26
prd_00048,garden_tools,32,454,4,7661,13,27,61,148.56
prd_00049,automotive,26,903,4,7641,69,45,16,306.92
prd_00050,books_stationery,37,659,7,10890,73,65,26,30.11
prd_00051,fashion_clothing,27,748,5,3724,64,32,63,85.4
prd_00052,electronics,30,997,5,2532,42,8,78,177.46
prd_00053,electronics,42,334,4,5360,22,48,39,473.62
prd_00054,sports_leisure,27,350,5,14312,47,66,49,100.28
prd_00055,electronics,55,382,3,7950,44,17,21,537.73
prd_00056,sports_leisure,31,390,8,13561,70,36,79,242.5
prd_00057,fashion_shoes,48,213,8,2719,13,11,11,84.66
prd_00058,housewares,60,898,6,4928,71,20,78,146.89
prd_00059,books_stationery,28,799,6,3212,49,80,16,33.1
prd_00060,electronics,23,493,6,8170,97,30,69,365.9
prd_00061,telephony,42,469,4,10439,42,44,43,387.24
prd_00062,fashion_shoes,53,724,5,3349,90,21,27,45.31
prd_00063,electronics,60,349,6,8913,72,57,57,168.16
prd_00064,fashion_clothing,55,240,2,8907,49,63,13,44.2
prd_00065,sports_leisure,60,940,2,7005,26,27,71,152.2
prd_00066,fashion_clothing,50,596,2,1319,93,17,33,22.19
prd_00067,electronics,38,489,3,12935,56,63,23,94.24
prd_00068,beauty_cosmetics,48,793,7,11093,19,15,80,19.79
prd_00069,health_perfumery,40,119,2,12265,26,5,78,26.01
prd_00070,electronics,58,223,6,6800,96,42,36,524.48
prd_00071,fashion_shoes,23,566,8,5813,16,70,71,198.19
prd_00072,fashion_shoes,20,871,2,13545,50,43,53,143.72
prd_00073,fashion_shoes,38,781,5,7336,92,47,36,160.21
prd_00074,health_perfumery,45,471,5,8607,29,62,66,55.34
prd_00075,fashion_clothing,49,712,4,1732,75,33,14,115.16
prd_00076,fashion_clothing,53,443,5,3108,98,66,43,25.35
prd_00077,telephony,47,940,4,2513,98,51,55,967.04
prd_00078,fashion_clothing,21,468,3,8875,29,41,37,48.68
prd_00079,beauty_cosmetics,35,949,8,11830,60,65,41,90.46
prd_00080,beauty_cosmetics,26,172,6,8665,59,23,20,27.35
prd_00081,fashion_clothing,36,370,5,1635,53,31,48,115.88
prd_00082,fashion_shoes,20,431,3,4062,35,68,34,147.71
prd_00083,computers_accessories,35,440,1,4008,48,76,18,552.19
prd_00084,sports_leisure,32,989,3,10873,81,28,62,101.73
prd_00085,garden_tools,49,289,1,929,68,6,60,45.21
prd_00086,sports_leisure,25,786,1,9123,22,54,25,15.43
prd_00087,toys,29,690,6,9192,37,65,11,102.86
prd_00088,computers_accessories,25,383,7,10605,22,50,33,279.99
prd_00089,fashion_clothing,58,709,5,3053,63,57,30,53.74
prd_00090,automotive,28,750,4,1166,39,23,80,26.73
prd_00091,health_perfumery,41,864,2,4559,12,80,75,77.59
prd_00092,garden_tools,35,918,5,1573,59,38,18,74.67
prd_00093,telephony,27,833,7,12558,58,30,42,357.79
prd_00094,home_appliances,38,377,6,6774,73,60,41,608.42
prd_00095,computers_accessories,26,851,3,9272,50,61,43,174.96
prd_00096,fashion_clothing,43,686,1,8180,18,31,22,56.95
prd_00097,sports_leisure,44,355,7,8048,59,22,42,209.5
prd_00098,office_furniture,46,797,5,7636,31,22,32,278.22
prd_00099,home_appliances,52,452,1,6409,76,32,10,579.5
prd_00100,fashion_clothing,24,184,2,10718,14,79,16,61.37
