return_id,order_id,product_id,return_reason,return_date,return_status
ret_000001,ord_000029,prd_00525,defective,2024-01-12 10:30:24,approved
ret_000002,ord_000040,prd_00774,defective,2024-01-29 14:11:51,approved
ret_000003,ord_000067,prd_01325,unsatisfied,2024-01-22 21:57:31,approved
ret_000004,ord_000071,prd_00027,wrong_item,2024-01-10 00:17:35,approved
ret_000005,ord_000071,prd_00107,defective,2024-01-23 00:17:35,approved
ret_000006,ord_000071,prd_01078,wrong_item,2024-01-15 00:17:35,approved
ret_000007,ord_000099,prd_01112,wrong_item,2024-01-17 10:48:45,approved
ret_000008,ord_000149,prd_01702,unsatisfied,2024-01-26 00:31:26,approved
ret_000009,ord_000168,prd_00082,wrong_item,2024-01-23 07:38:56,approved
ret_000010,ord_000179,prd_00001,wrong_item,2024-01-23 10:26:49,approved
ret_000011,ord_000182,prd_00002,defective,2024-02-02 10:58:09,pending
ret_000012,ord_000228,prd_00209,defective,2024-01-16 02:26:44,approved
ret_000013,ord_000357,prd_00487,delayed_delivery,2024-01-16 10:45:58,approved
ret_000014,ord_000362,prd_01004,defective,2024-01-15 13:38:04,approved
ret_000015,ord_000469,prd_00001,unsatisfied,2024-01-16 13:44:22,approved
ret_000016,ord_000474,prd_00022,defective,2024-01-13 15:13:08,approved
ret_000017,ord_000474,prd_00022,unsatisfied,2024-02-06 15:13:08,approved
ret_000018,ord_000507,prd_00041,unsatisfied,2024-01-28 02:33:57,approved
ret_000019,ord_000507,prd_00745,delayed_delivery,2024-02-07 02:33:57,approved
ret_000020,ord_000549,prd_00011,defective,2024-01-30 18:56:25,approved
ret_000021,ord_000577,prd_00241,defective,2024-01-26 01:38:16,approved
ret_000022,ord_000600,prd_00013,unsatisfied,2024-01-31 08:29:18,approved
ret_000023,ord_000641,prd_00003,defective,2024-01-15 22:02:18,approved
ret_000024,ord_000646,prd_00807,unsatisfied,2024-01-29 00:15:51,approved
ret_000025,ord_000656,prd_00096,wrong_item,2024-01-20 06:01:23,approved
ret_000026,ord_000681,prd_00667,unsatisfied,2024-01-24 15:12:30,approved
ret_000027,ord_000696,prd_00001,wrong_item,2024-01-18 00:10:44,approved
ret_000028,ord_000722,prd_00117,unsatisfied,2024-02-02 13:13:11,approved
ret_000029,ord_000746,prd_00002,unsatisfied,2024-01-27 03:10:49,approved
ret_000030,ord_000805,prd_01770,defective,2024-02-13 07:36:30,rejected
ret_000031,ord_000811,prd_00526,defective,2024-02-03 08:47:04,approved
ret_000032,ord_000852,prd_00311,wrong_item,2024-01-26 06:37:13,approved
ret_000033,ord_000871,prd_00355,wrong_item,2024-02-04 10:46:52,approved
ret_000034,ord_000911,prd_00164,wrong_item,2024-02-05 23:07:43,approved
ret_000035,ord_000949,prd_00041,wrong_item,2024-01-22 12:44:50,approved
ret_000036,ord_000978,prd_00022,defective,2024-01-28 22:47:46,approved
ret_000037,ord_000982,prd_00342,defective,2024-01-24 00:40:09,approved
ret_000038,ord_000990,prd_00344,wrong_item,2024-02-11 04:43:22,approved
ret_000039,ord_000990,prd_00004,wrong_item,2024-02-03 04:43:22,approved
ret_000040,ord_001020,prd_01794,defective,2024-01-27 15:05:25,approved
ret_000041,ord_001045,prd_00076,unsatisfied,2024-02-10 21:59:25,approved
ret_000042,ord_001091,prd_01247,wrong_item,2024-01-28 18:42:46,approved
ret_000043,ord_001101,prd_00004,defective,2024-01-27 00:47:26,approved
ret_000044,ord_001164,prd_00064,defective,2024-01-30 13:16:09,pending
ret_000045,ord_001202,prd_00115,wrong_item,2024-02-19 04:53:22,approved
ret_000046,ord_001202,prd_00481,unsatisfied,2024-02-17 04:53:22,rejected
ret_000047,ord_001237,prd_00545,delayed_delivery,2024-01-31 20:45:24,approved
ret_000048,ord_001238,prd_00447,unsatisfied,2024-02-08 21:17:14,approved
ret_000049,ord_001264,prd_00494,defective,2024-02-20 08:22:18,approved
ret_000050,ord_001295,prd_00708,delayed_delivery,2024-02-07 19:59:47,approved
ret_000051,ord_001297,prd_00031,defective,2024-01-31 22:16:33,approved
ret_000052,ord_001306,prd_00002,wrong_item,2024-02-01 00:51:09,approved
ret_000053,ord_001311,prd_00038,unsatisfied,2024-02-02 02:46:34,approved
ret_000054,ord_001334,prd_00004,unsatisfied,2024-02-04 10:04:24,approved
ret_000055,ord_001387,prd_00002,delayed_delivery,2024-01-31 04:29:45,approved
ret_000056,ord_001466,prd_00011,defective,2024-02-21 11:27:41,approved
ret_000057,ord_001467,prd_00046,unsatisfied,2024-02-13 12:42:52,approved
ret_000058,ord_001479,prd_00684,unsatisfied,2024-02-02 17:28:04,approved
ret_000059,ord_001485,prd_00022,defective,2024-01-30 19:52:09,approved
ret_000060,ord_001491,prd_00015,wrong_item,2024-02-09 22:30:58,approved
ret_000061,ord_001512,prd_00316,unsatisfied,2024-02-05 05:59:11,approved
ret_000062,ord_001542,prd_01570,wrong_item,2024-02-20 22:17:02,approved
ret_000063,ord_001561,prd_00015,defective,2024-02-24 07:59:08,approved
ret_000064,ord_001655,prd_00250,unsatisfied,2024-02-22 15:08:27,approved
ret_000065,ord_001683,prd_00639,defective,2024-02-18 00:37:14,approved
ret_000066,ord_001692,prd_00010,unsatisfied,2024-02-10 02:45:24,approved
ret_000067,ord_001748,prd_00011,delayed_delivery,2024-02-16 23:06:08,approved
ret_000068,ord_001803,prd_00017,defective,2024-02-24 16:37:59,approved
ret_000069,ord_001808,prd_00001,unsatisfied,2024-02-13 17:51:10,approved
ret_000070,ord_001827,prd_00938,wrong_item,2024-02-18 22:04:02,approved
ret_000071,ord_001843,prd_00018,wrong_item,2024-02-08 05:31:39,approved
ret_000072,ord_001875,prd_00238,defective,2024-02-05 14:26:31,approved
ret_000073,ord_001899,prd_00206,defective,2024-02-22 23:07:18,approved
ret_000074,ord_001902,prd_00001,unsatisfied,2024-02-13 23:35:36,approved
ret_000075,ord_001919,prd_00028,defective,2024-02-26 09:12:25,approved
ret_000076,ord_001924,prd_02236,delayed_delivery,2024-02-11 10:34:27,approved
ret_000077,ord_001969,prd_00962,unsatisfied,2024-02-26 10:50:13,approved
ret_000078,ord_002011,prd_00138,defective,2024-02-13 05:02:11,approved
ret_000079,ord_002025,prd_00007,unsatisfied,2024-02-25 13:38:48,approved
ret_000080,ord_002032,prd_01789,unsatisfied,2024-03-04 17:34:06,approved
ret_000081,ord_002055,prd_00016,wrong_item,2024-02-17 06:11:23,approved
ret_000082,ord_002077,prd_01475,wrong_item,2024-02-22 16:00:25,approved
ret_000083,ord_002094,prd_00346,delayed_delivery,2024-02-11 00:03:16,approved
ret_000084,ord_002124,prd_00472,unsatisfied,2024-02-14 10:10:48,approved
ret_000085,ord_002125,prd_00002,defective,2024-02-21 10:23:16,rejected
ret_000086,ord_002162,prd_00338,unsatisfied,2024-02-28 22:37:30,approved
ret_000087,ord_002171,prd_00001,wrong_item,2024-03-06 23:52:03,approved
ret_000088,ord_002220,prd_00036,defective,2024-02-12 15:54:19,rejected
ret_000089,ord_002258,prd_00038,unsatisfied,2024-03-01 04:37:39,approved
ret_000090,ord_002281,prd_00112,defective,2024-03-04 12:29:15,pending
ret_000091,ord_002284,prd_00030,wrong_item,2024-03-01 13:56:34,approved
ret_000092,ord_002293,prd_00370,defective,2024-02-25 15:47:24,approved
ret_000093,ord_002301,prd_00040,defective,2024-02-17 17:13:54,approved
ret_000094,ord_002301,prd_00177,unsatisfied,2024-02-17 17:13:54,approved
ret_000095,ord_002308,prd_00006,defective,2024-02-25 19:16:36,pending
ret_000096,ord_002326,prd_01099,wrong_item,2024-02-22 02:57:31,approved
ret_000097,ord_002373,prd_00001,unsatisfied,2024-03-06 19:13:39,approved
ret_000098,ord_002405,prd_00984,defective,2024-02-17 06:59:22,approved
ret_000099,ord_002460,prd_00007,wrong_item,2024-03-03 00:56:02,approved
ret_000100,ord_002473,prd_02168,unsatisfied,2024-03-07 05:58:56,approved
ret_000101,ord_002500,prd_00015,defective,2024-03-07 22:31:42,approved
ret_000102,ord_002507,prd_00026,defective,2024-02-25 01:23:10,approved
ret_000103,ord_002520,prd_01853,unsatisfied,2024-02-24 09:54:29,approved
ret_000104,ord_002520,prd_00318,defective,2024-03-06 09:54:29,approved
ret_000105,ord_002520,prd_01395,defective,2024-02-24 09:54:29,approved
ret_000106,ord_002556,prd_00003,unsatisfied,2024-02-23 02:48:37,approved
