product_id,product_category_name,category_name_english,product_base_price,product_weight_g,product_length_cm,product_height_cm,product_width_cm
prd_00001,computers_accessories,Computers & Accessories,1091.08,13326.0,97,29,12
prd_00002,fashion_shoes,Shoes & Footwear,185.6,14172.0,91,54,40
prd_00003,telephony,Telephony/Mobile,591.36,7109.0,15,66,36
prd_00004,books_stationery,Books & Stationery,30.64,14705.0,82,51,24
prd_00005,electronics,Electronics,277.8,3285.0,36,26,73
prd_00006,fashion_shoes,Shoes & Footwear,62.26,917.0,65,56,55
prd_00007,fashion_clothing,Fashion & Apparel,64.86,2687.0,47,32,78
prd_00008,automotive,Automotive Parts,40.56,9444.0,25,20,22
prd_00009,health_perfumery,Health & Perfumery,51.38,13428.0,36,6,61
prd_00010,electronics,Electronics,389.6,3926.0,99,10,53
prd_00011,fashion_clothing,Fashion & Apparel,72.84,642.0,93,11,13
prd_00012,toys,Toys & Games,120.26,497.0,13,65,48
prd_00013,home_appliances,Home Appliances,320.24,6388.0,58,43,29
prd_00014,electronics,Electronics,617.88,4079.0,59,58,20
prd_00015,health_perfumery,Health & Perfumery,74.92,6378.0,54,26,12
prd_00016,fashion_shoes,Shoes & Footwear,163.98,9208.0,27,12,60
prd_00017,books_stationery,Books & Stationery,41.65,8768.0,69,72,63
prd_00018,garden_tools,Garden Tools,121.88,5189.0,25,29,34
prd_00019,sports_leisure,Sports & Leisure,68.27,7792.0,62,12,70
prd_00020,beauty_cosmetics,Beauty & Cosmetics,91.5,2923.0,89,27,36
prd_00021,automotive,Automotive Parts,386.04,10159.0,66,45,77
prd_00022,fashion_shoes,Shoes & Footwear,162.22,9984.0,19,34,31
prd_00023,toys,Toys & Games,81.0,11602.0,51,52,77
prd_00024,fashion_clothing,Fashion & Apparel,26.95,7416.0,31,14,79
prd_00025,automotive,Automotive Parts,185.79,2207.0,21,60,53
prd_00026,housewares,Housewares,82.26,8457.0,81,31,38
prd_00027,toys,Toys & Games,99.4,1878.0,77,27,20
prd_00028,home_appliances,Home Appliances,556.79,8407.0,18,45,38
prd_00029,fashion_clothing,Fashion & Apparel,117.05,5273.0,38,37,62
